crash_trial,sfc_id,recover_success,backup_success,backup_efficient,latency_before,latency_after,latency_diff,time_to_recover,vnf_id,latency_degrad,resource_degrad,risk_level,final_status
0,sfc_unique_p5_15,True,False,N/A,3.165108958456021,5.87,2.7048910415439793,0.028937816619873047,N/A,2.7048910415439793,-21.0,High,Slow Recover
0,sfc_unique_p4_15,True,False,N/A,2.2424750644941964,4.1,1.8575249355058032,0.05529141426086426,N/A,1.8575249355058032,-21.0,High,Slow Recover
0,sfc_unique_p2_17,True,False,N/A,6.97032477627477,3.34,-3.6303247762747706,0.08327007293701172,N/A,-3.6303247762747706,-21.0,High,Slow Recover
0,sfc_unique_p2_15,True,False,N/A,3.1783942401170555,7.6,4.421605759882944,0.11188960075378418,N/A,4.421605759882944,-21.0,High,Slow Recover
0,sfc_unique_p1_19,True,False,N/A,3.391660801648121,3.5,0.10833919835187888,0.13869190216064453,N/A,0.10833919835187888,-21.0,High,Slow Recover
0,sfc_unique_p1_18,True,False,N/A,5.735591413155762,7.65,1.914408586844238,0.23881983757019043,N/A,1.914408586844238,-21.0,High,Slow Recover
0,sfc_unique_p1_17,True,False,N/A,3.2296932256061766,3.34,0.1103067743938233,0.2667841911315918,N/A,0.1103067743938233,-21.0,High,Slow Recover
0,sfc_unique_p1_16,True,False,N/A,5.577710034840921,3.34,-2.237710034840921,0.2977571487426758,N/A,-2.237710034840921,-21.0,High,Slow Recover
0,sfc_cache_p6_15,True,False,N/A,3.045516883001033,3.34,0.294483116998967,0.3256704807281494,N/A,0.294483116998967,-10.0,High,Slow Recover
0,sfc_cache_p3_20,True,False,N/A,2.362844185696867,3.36,0.9971558143031327,0.35274600982666016,N/A,0.9971558143031327,-6.0,High,Slow Recover
0,sfc_cache_p3_18,True,False,N/A,3.095685457698724,3.41,0.3143145423012763,0.38249874114990234,N/A,0.3143145423012763,-10.0,High,Slow Recover
0,sfc_cache_p3_15,True,False,N/A,2.583951712965471,3.49,0.9060482870345292,0.40981554985046387,N/A,0.9060482870345292,-10.0,High,Slow Recover
0,sfc_cache_p2_20,True,False,N/A,3.0612289344325916,3.49,0.4287710655674086,0.43833065032958984,N/A,0.4287710655674086,-5.67,High,Slow Recover
0,sfc_cache_p2_18,True,False,N/A,2.158593198686842,3.54,1.3814068013131582,0.46601033210754395,N/A,1.3814068013131582,-10.0,High,Slow Recover
0,sfc_cache_p1_20,True,False,N/A,2.583951712965471,2.79,0.20604828703452904,0.5668425559997559,N/A,0.20604828703452904,-10.0,High,Slow Recover
0,sfc_cache_p1_15,True,False,N/A,2.230869231414641,5.84,3.609130768585359,0.5960838794708252,N/A,3.609130768585359,-10.0,High,Slow Recover
1,sfc_unique_p6_23,True,False,N/A,5.989954566703684,7.08,1.090045433296316,0.047347307205200195,N/A,1.090045433296316,-21.0,High,Slow Recover
1,sfc_unique_p5_23,True,False,N/A,5.989954566703684,6.97,0.9800454332963158,0.21628665924072266,N/A,0.9800454332963158,-21.0,High,Slow Recover
1,sfc_unique_p4_23,True,False,N/A,5.326727717455871,6.85,1.523272282544129,0.26436281204223633,N/A,1.523272282544129,-21.0,High,Slow Recover
1,sfc_unique_p3_23,True,False,N/A,5.438412386445741,4.44,-0.9984123864457404,0.3118405342102051,N/A,-0.9984123864457404,-21.0,High,Slow Recover
1,sfc_unique_p1_23,True,False,N/A,8.142418625806995,4.44,-3.7024186258069944,0.3593330383300781,N/A,-3.7024186258069944,-21.0,High,Slow Recover
1,sfc_cache_p6_25,True,False,N/A,2.784119101598137,3.22,0.43588089840186317,0.4057955741882324,N/A,0.43588089840186317,-10.0,High,Slow Recover
1,sfc_cache_p6_24,True,False,N/A,4.955237553629584,5.43,0.4747624463704154,0.45325756072998047,N/A,0.4747624463704154,-10.0,High,Slow Recover
