No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772830702.126939,0,1,0.0,0.0781,0.0137,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,1.8,0.33,1.47,None,0.0002956390380859375,13.263,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,0.0,15.5,16.5,1.0,0.2475,0.04,0.0736,2116.7240595248445,2106.7240595248445,10.0,0.8714912515027975,1,1,0
0,1772830702.1277761,0.0,1,0.0,0.0781,0.0137,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,2.62,0.73,1.89,None,0.0002956390380859375,13.882,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,0.0,15.5,16.5,1.0,0.2475,0.04,0.0736,2116.7240595248445,2106.7240595248445,10.0,0.8714912515027975,1,1,0
0,1772830702.1572468,0.0,2,0.0,0.1562,0.0272,0.0499,0.0,15.6234,4.9894,0.0,0.0,0.0,2.71,0.36,2.35,None,0.03123331069946289,12.24,True,None,sfc_cache_p2_1,0,None,0.0,0.0,0.0,1,4,2,1,0,False,100.0,0.0,15.5,16.5,1.0,0.3549,0.0769,0.0823,2165.5227518959914,2145.5227518959914,20.0,0.8641652386348819,2,2,0
0,1772830702.1579018,0.0,2,0.0,0.1562,0.0272,0.0499,0.0,15.6234,4.9894,0.0,0.0,0.0,2.38,0.48,1.9,None,0.03123331069946289,13.249,True,None,sfc_unique_p2_1,0,None,0.0,0.0,0.0,1,4,2,1,0,False,100.0,0.0,15.5,16.5,1.0,0.3549,0.0769,0.0823,2165.5227518959914,2145.5227518959914,20.0,0.8641652386348819,2,2,0
0,1772830702.1860423,0.1,3,0.0,0.2344,0.0364,0.0748,0.0,23.4351,7.4841,0.0,0.0,0.0,2.51,0.24,2.27,None,0.06129193305969238,11.7,True,None,sfc_cache_p3_1,0,None,0.0,0.0,0.0,2,6,3,1,0,False,100.0,0.0,15.5,16.5,1.0,0.4065,0.1111,0.0852,2233.334236186349,2203.334236186349,30.0,0.8890276619930213,2,3,1
0,1772830702.1867094,0.1,3,0.0,0.2344,0.0364,0.0748,0.0,23.4351,7.4841,0.0,0.0,0.0,2.14,0.24,1.9,None,0.06129193305969238,12.594,True,None,sfc_unique_p3_1,0,None,0.0,0.0,0.0,2,6,3,1,0,False,100.0,0.0,15.5,16.5,1.0,0.4065,0.1111,0.0852,2233.334236186349,2203.334236186349,30.0,0.8890276619930213,2,3,1
0,1772830702.214995,0.1,4,0.0,0.3016,0.0501,0.0998,0.0,30.1557,9.9788,0.0,0.0,0.0,2.55,0.21,2.33,None,0.09009099006652832,11.434,True,None,sfc_cache_p4_1,0,None,0.0,4.33,0.0,4,8,4,1,0,False,100.0,0.0,14.95875,16.5,1.0,0.4448,0.1429,0.0915,2260.939869989166,2220.939869989166,40.0,0.901582392639416,2,4,2
0,1772830702.2156885,0.1,4,0.0,0.3016,0.0501,0.0998,0.0,30.1557,9.9788,0.0,0.0,0.0,2.61,0.26,2.35,None,0.09009099006652832,12.445,True,None,sfc_unique_p4_1,0,None,0.0,4.33,0.0,4,8,4,1,0,False,100.0,0.0,14.95875,16.5,1.0,0.4448,0.1429,0.0915,2260.939869989166,2220.939869989166,40.0,0.901582392639416,2,4,2
0,1772830702.243936,0.1,5,0.0038,0.3696,0.0626,0.1247,0.432,36.9595,12.4735,0.0,0.0,0.0,2.75,0.83,1.92,None,0.11909151077270508,10.741,True,None,sfc_cache_p5_1,0,None,0.0,4.33,0.0,6,10,5,1,0,False,100.0,0.4,14.666999999999998,16.5,0.0588,0.4805,0.1616,0.0878,2320.975468193778,2270.975468193778,50.0,0.9174963472988115,2,4,4
0,1772830702.2446485,0.1,5,0.0038,0.3696,0.0626,0.1247,0.432,36.9595,12.4735,0.0,0.0,0.0,2.62,0.27,2.35,None,0.11909151077270508,12.678,True,None,sfc_unique_p5_1,0,None,0.0,4.33,0.0,6,10,5,1,0,False,100.0,0.4,14.666999999999998,16.5,0.0588,0.4805,0.1616,0.0878,2320.975468193778,2270.975468193778,50.0,0.9174963472988115,2,4,4
0,1772830702.2732954,0.1,6,0.0075,0.4376,0.0743,0.1497,0.864,43.7632,14.9682,0.0,0.0,0.0,3.82,1.71,2.11,None,0.14802193641662598,10.684,True,None,sfc_cache_p6_1,0,None,0.0,4.33,0.0,6,12,6,1,0,False,100.0,0.6666666666666666,14.472499999999998,16.5,0.1021,0.5941,0.1888,0.0968,2377.2839590521603,2317.2839590521603,60.0,0.9133287607426954,2,6,4
0,1772830702.2740967,0.1,6,0.0075,0.4376,0.0743,0.1497,0.864,43.7632,14.9682,0.0,0.0,0.0,3.21,0.89,2.32,None,0.14802193641662598,12.288,True,None,sfc_unique_p6_1,0,None,0.0,4.33,0.0,6,12,6,1,0,False,100.0,0.6666666666666666,14.472499999999998,16.5,0.1021,0.5941,0.1888,0.0968,2377.2839590521603,2317.2839590521603,60.0,0.9133287607426954,2,6,4
0,1772830718.1551113,16.0,6,0.011,0.5057,0.0796,0.1746,1.296,50.567,17.463,0.0,0.0,0.0,1.43,0.84,0.59,None,0.00020956993103027344,6.629,True,None,sfc_cache_p1_2,0,None,0.0,4.33,0.0,6,14,6,2,0,False,100.0,0.8571428571428571,14.333571428571428,16.5,0.144,0.654,0.2061,0.1107,2439.7572603987014,2369.7572603987014,70.0,0.9246060496089538,2,6,6
0,1772830718.1558495,16.0,6,0.011,0.5057,0.0796,0.1746,1.296,50.567,17.463,0.0,0.0,0.0,1.16,0.2,0.96,None,0.00020956993103027344,7.257,True,None,sfc_unique_p1_2,0,None,0.0,4.33,0.0,6,14,6,2,0,False,100.0,0.8571428571428571,14.333571428571428,16.5,0.144,0.654,0.2061,0.1107,2439.7572603987014,2369.7572603987014,70.0,0.9246060496089538,2,6,6
0,1772830718.1738453,16.0,7,0.0108,0.5628,0.0848,0.1746,1.296,56.2796,17.463,0.0,0.0,0.0,1.43,0.84,0.59,None,0.01868414878845215,6.665,True,None,sfc_cache_p2_2,0,None,4.0,8.66,33.0,10,16,6,2,0,False,100.0,0.75,13.95875,14.4375,0.1368,0.6633,0.1997,0.121,2464.188462998918,2384.188462998918,80.0,0.9325019451243772,2,6,8
0,1772830718.1742878,16.0,7,0.0108,0.5628,0.0848,0.1746,1.296,56.2796,17.463,0.0,0.0,0.0,1.16,0.2,0.96,None,0.01868414878845215,7.231,True,None,sfc_unique_p2_2,0,None,4.0,8.66,33.0,10,16,6,2,0,False,100.0,0.75,13.95875,14.4375,0.1368,0.6633,0.1997,0.121,2464.188462998918,2384.188462998918,80.0,0.9325019451243772,2,6,8
0,1772830718.192217,16.1,8,0.0105,0.6308,0.092,0.1746,1.296,63.0834,17.463,0.0,0.0,0.0,1.43,0.84,0.59,None,0.037064313888549805,6.558,True,None,sfc_cache_p3_2,0,None,8.0,8.66,66.0,13,18,6,2,0,False,100.0,0.6666666666666666,13.907777777777778,12.833333333333334,0.1303,0.7196,0.1936,0.1284,2520.2691780585064,2430.2691780585064,90.0,0.9380594154775785,2,6,10
0,1772830718.192669,16.1,8,0.0105,0.6308,0.092,0.1746,1.296,63.0834,17.463,0.0,0.0,0.0,1.2,0.18,1.02,None,0.037064313888549805,7.001,True,None,sfc_unique_p3_2,0,None,8.0,8.66,66.0,13,18,6,2,0,False,100.0,0.6666666666666666,13.907777777777778,12.833333333333334,0.1303,0.7196,0.1936,0.1284,2520.2691780585064,2430.2691780585064,90.0,0.9380594154775785,2,6,10
0,1772830718.2104492,16.1,9,0.0103,0.688,0.0974,0.1746,1.296,68.796,17.463,0.0,0.0,0.0,1.43,0.84,0.59,None,0.0554354190826416,6.442,True,None,sfc_cache_p4_2,0,None,12.0,12.99,99.0,17,20,6,2,0,False,100.0,0.6,13.6505,11.55,0.1243,0.7331,0.1879,0.1309,2548.7713449057437,2448.7713449057437,100.0,0.9422352542961224,2,6,12
0,1772830718.2109118,16.1,9,0.0103,0.688,0.0974,0.1746,1.296,68.796,17.463,0.0,0.0,0.0,1.2,0.18,1.02,None,0.0554354190826416,7.027,True,None,sfc_unique_p4_2,0,None,12.0,12.99,99.0,17,20,6,2,0,False,100.0,0.6,13.6505,11.55,0.1243,0.7331,0.1879,0.1309,2548.7713449057437,2448.7713449057437,100.0,0.9422352542961224,2,6,12
0,1772830718.2286327,16.1,10,0.0211,0.7224,0.1054,0.1746,2.7355,72.2407,17.463,0.0,0.0,0.0,1.8,1.21,0.59,None,0.07366585731506348,6.272,True,None,sfc_cache_p5_2,0,None,16.0,12.99,132.0,19,22,6,2,0,False,100.0,1.1513636363636364,13.030909090909091,10.5,0.1224,0.7404,0.1825,0.1313,2571.1885403863193,2461.1885403863193,110.0,0.9452945765403231,2,6,14
0,1772830718.2291124,16.1,10,0.0211,0.7224,0.1054,0.1746,2.7355,72.2407,17.463,0.0,0.0,0.0,2.22,0.91,1.32,None,0.07366585731506348,6.645,True,None,sfc_unique_p5_2,0,None,16.0,12.99,132.0,19,22,6,2,0,False,100.0,1.1513636363636364,13.030909090909091,10.5,0.1224,0.7404,0.1825,0.1313,2571.1885403863193,2461.1885403863193,110.0,0.9452945765403231,2,6,14
