No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772828686.4139163,0,1,0.0188,0.0328,0.0132,0.0249,1.9439,3.2759,2.4947,0.0,0.0,0.0,2.08,1.42,0.66,None,0.00026297569274902344,24.363,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,9.0,6.5,16.5,0.1285,0.0833,0.04,0.0312,2078.0529329825104,2068.0529329825104,10.0,0.9893231943924791,0,0,2
0,1772828686.4148777,0.0,1,0.0188,0.0328,0.0132,0.0249,1.9439,3.2759,2.4947,0.0,0.0,0.0,2.98,1.89,1.09,None,0.00026297569274902344,31.351,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,9.0,6.5,16.5,0.1285,0.0833,0.04,0.0312,2078.0529329825104,2068.0529329825104,10.0,0.9893231943924791,0,0,2
0,1772828686.4747388,0.1,2,0.0328,0.0546,0.0263,0.0249,3.4559,5.4606,2.4947,0.0,0.0,0.0,2.08,1.42,0.66,None,0.06644392013549805,23.623,True,None,sfc_cache_p2_1,0,None,4.0,4.33,33.0,5,4,2,1,0,False,100.0,8.0,5.4175,8.25,0.1252,0.0833,0.0385,0.0312,2111.3980034050455,2091.3980034050455,20.0,0.9844552959660225,0,0,4
0,1772828686.4754832,0.1,2,0.0328,0.0546,0.0263,0.0249,3.4559,5.4606,2.4947,0.0,0.0,0.0,2.98,1.89,1.09,None,0.06644392013549805,27.412,True,None,sfc_unique_p2_1,0,None,4.0,4.33,33.0,5,4,2,1,0,False,100.0,8.0,5.4175,8.25,0.1252,0.0833,0.0385,0.0312,2111.3980034050455,2091.3980034050455,20.0,0.9844552959660225,0,0,4
0,1772828686.5351675,0.1,3,0.0462,0.0765,0.0395,0.0249,4.9678,7.6454,2.4947,0.0,0.0,0.0,2.08,1.42,0.66,None,0.12701177597045898,23.58,True,None,sfc_cache_p3_1,0,None,8.0,8.66,66.0,9,6,3,1,0,False,100.0,7.666666666666667,5.056666666666667,5.5,0.1189,0.0833,0.037,0.0312,2150.658566785328,2120.658566785328,30.0,0.9796035088841756,0,0,6
0,1772828686.53593,0.1,3,0.0462,0.0765,0.0395,0.0249,4.9678,7.6454,2.4947,0.0,0.0,0.0,2.98,1.89,1.09,None,0.12701177597045898,27.367,True,None,sfc_unique_p3_1,0,None,8.0,8.66,66.0,9,6,3,1,0,False,100.0,7.666666666666667,5.056666666666667,5.5,0.1189,0.0833,0.037,0.0312,2150.658566785328,2120.658566785328,30.0,0.9796035088841756,0,0,6
0,1772828686.5959482,0.2,4,0.0588,0.0983,0.0527,0.0249,6.4798,9.8302,2.4947,0.0,0.0,0.0,2.08,1.42,0.66,None,0.1874697208404541,23.685,True,None,sfc_cache_p4_1,0,None,12.0,12.99,99.0,13,8,4,1,0,False,100.0,7.5,4.87625,4.125,0.1125,0.0833,0.0357,0.0312,2184.8243305989786,2144.8243305989786,40.0,0.9747678026824262,0,0,8
0,1772828686.5967393,0.2,4,0.0588,0.0983,0.0527,0.0249,6.4798,9.8302,2.4947,0.0,0.0,0.0,2.98,1.89,1.09,None,0.1874697208404541,27.386,True,None,sfc_unique_p4_1,0,None,12.0,12.99,99.0,13,8,4,1,0,False,100.0,7.5,4.87625,4.125,0.1125,0.0833,0.0357,0.0312,2184.8243305989786,2144.8243305989786,40.0,0.9747678026824262,0,0,8
0,1772828686.6438124,0.2,5,0.0704,0.1201,0.0658,0.0249,7.9917,12.0149,2.4947,0.0,0.0,0.0,2.08,1.42,0.66,None,0.24831366539001465,23.213,True,None,sfc_cache_p5_1,0,None,16.0,17.32,132.0,17,10,5,1,0,False,100.0,7.4,4.768,3.3,0.1064,0.0833,0.0345,0.0312,2205.701903730073,2155.701903730073,50.0,0.969948146922075,0,0,10
0,1772828686.6443021,0.2,5,0.0704,0.1201,0.0658,0.0249,7.9917,12.0149,2.4947,0.0,0.0,0.0,2.98,1.89,1.09,None,0.24831366539001465,16.209,True,None,sfc_unique_p5_1,0,None,16.0,17.32,132.0,17,10,5,1,0,False,100.0,7.4,4.768,3.3,0.1064,0.0833,0.0345,0.0312,2205.701903730073,2155.701903730073,50.0,0.969948146922075,0,0,10
