No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772828733.8030694,19.0,6,0.0788,0.2268,0.1008,0.0499,9.2153,22.6842,4.9894,0.0,0.0,0.0,2.47,1.03,1.43,None,0.00019407272338867188,25.914,True,None,sfc_unique_p1_2,0,None,41.65,0.0,165.0,20,14,6,2,0,False,100.0,6.095,6.43,4.714285714285714,0.1424,0.3282,0.0637,0.0422,2336.2504751989327,2266.2504751989327,70.0,0.7728610940426657,12,0,2
0,1772828733.8489954,19.1,7,0.0852,0.2823,0.1167,0.0748,10.1873,28.228,7.4841,0.0,0.0,0.0,2.6,1.6,1.0,None,0.055938005447387695,20.834,True,None,sfc_cache_p2_2,0,None,41.65,0.0,165.0,22,16,6,2,0,False,100.0,5.895625,7.00125,6.1875,0.1485,0.3767,0.0851,0.0515,2393.2726079957133,2313.2726079957133,80.0,0.7928868637306753,12,0,4
0,1772828733.8497248,19.1,7,0.0852,0.2823,0.1167,0.0748,10.1873,28.228,7.4841,0.0,0.0,0.0,2.47,1.03,1.43,None,0.055938005447387695,15.204,True,None,sfc_unique_p2_2,0,None,41.65,0.0,165.0,22,16,6,2,0,False,100.0,5.895625,7.00125,6.1875,0.1485,0.3767,0.0851,0.0515,2393.2726079957133,2313.2726079957133,80.0,0.7928868637306753,12,0,4
0,1772828733.8933928,19.1,8,0.0872,0.3268,0.1325,0.0748,10.7272,32.6807,7.4841,0.0,0.0,0.0,2.6,1.6,1.0,None,0.10230779647827148,14.83,True,None,sfc_cache_p3_2,0,None,45.65,4.33,198.0,26,18,6,2,0,False,100.0,5.5183333333333335,7.205,5.5,0.1477,0.3991,0.0825,0.06,2449.248850063505,2359.248850063505,90.0,0.807788155211976,12,0,6
0,1772828733.8943746,19.1,8,0.0872,0.3268,0.1325,0.0748,10.7272,32.6807,7.4841,0.0,0.0,0.0,2.47,1.03,1.43,None,0.10230779647827148,20.689,True,None,sfc_unique_p3_2,0,None,45.65,4.33,198.0,26,18,6,2,0,False,100.0,5.5183333333333335,7.205,5.5,0.1477,0.3991,0.0825,0.06,2449.248850063505,2359.248850063505,90.0,0.807788155211976,12,0,6
0,1772828733.988092,19.2,9,0.0892,0.3713,0.1484,0.0748,11.2672,37.1334,7.4841,0.0,0.0,0.0,2.6,1.6,1.0,None,0.14201664924621582,71.373,True,None,sfc_cache_p4_2,0,None,49.65,8.66,231.0,30,20,6,2,0,False,100.0,5.2165,7.368,4.95,0.1464,0.409,0.0801,0.0672,2482.0669122829754,2382.0669122829754,100.0,0.8190196074695967,12,8,0
0,1772828733.9887857,19.2,9,0.0892,0.3713,0.1484,0.0748,11.2672,37.1334,7.4841,0.0,0.0,0.0,2.47,1.03,1.43,None,0.14201664924621582,14.313,True,None,sfc_unique_p4_2,0,None,49.65,8.66,231.0,30,20,6,2,0,False,100.0,5.2165,7.368,4.95,0.1464,0.409,0.0801,0.0672,2482.0669122829754,2382.0669122829754,100.0,0.8190196074695967,12,8,0
0,1772828734.027761,19.3,10,0.091,0.4159,0.1642,0.0748,11.8072,41.586,7.4841,0.0,0.0,0.0,2.6,1.6,1.0,None,0.23607683181762695,15.057,True,None,sfc_cache_p5_2,0,None,53.65,12.99,264.0,34,22,6,2,0,False,100.0,4.969545454545455,7.501363636363636,4.5,0.1446,0.4099,0.0778,0.0729,2494.96893983289,2384.96893983289,110.0,0.8275843794528814,12,10,0
0,1772828734.0285447,19.3,10,0.091,0.4159,0.1642,0.0748,11.8072,41.586,7.4841,0.0,0.0,0.0,2.47,1.03,1.43,None,0.23607683181762695,15.798,True,None,sfc_unique_p5_2,0,None,53.65,12.99,264.0,34,22,6,2,0,False,100.0,4.969545454545455,7.501363636363636,4.5,0.1446,0.4099,0.0778,0.0729,2494.96893983289,2384.96893983289,110.0,0.8275843794528814,12,10,0
0,1772828734.0640333,19.3,11,0.109,0.4243,0.1766,0.0748,14.3635,42.4252,7.4841,0.0,0.0,0.0,5.08,3.85,1.23,None,0.2759275436401367,12.985,True,None,sfc_cache_p6_2,0,None,57.65,12.99,297.0,37,24,6,2,0,False,100.0,5.541666666666667,7.015000000000001,4.125,0.1786,0.4098,0.0756,0.0775,2520.21939299404,2400.21939299404,120.0,0.8251623860938652,13,11,0
