crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1772831016.4519398,2,11,0,0,11,2.3899,0.0000,28.95,0.0000
1,1772831136.4537199,2,17,0,0,17,2.3526,0.0000,60.71,0.0000
2,1772831256.4522662,2,14,0,0,14,2.4103,0.0000,29.17,0.0000
