crash_trial,sfc_id,recover_success,backup_success,backup_efficient,latency_before,latency_after,latency_diff,time_to_recover,vnf_id,latency_degrad,resource_degrad,risk_level,final_status
0,sfc_unique_p4_15,True,False,N/A,1.8221179235700102,2.17,0.3478820764299897,0.04688739776611328,N/A,0.3478820764299897,-21.0,High,Slow Recover
0,sfc_cache_p5_15,True,False,N/A,2.755706665816757,2.65,-0.10570666581675692,0.0913383960723877,N/A,-0.10570666581675692,-1.67,High,Slow Recover
0,sfc_cache_p1_17,True,False,N/A,4.037943580660318,3.03,-1.0079435806603185,0.13669729232788086,N/A,-1.0079435806603185,-10.0,High,Slow Recover
1,sfc_unique_p6_27,True,False,N/A,2.626448144184112,2.61,-0.016448144184112223,0.05298733711242676,N/A,-0.016448144184112223,-21.0,High,Slow Recover
1,sfc_cache_p5_23,True,False,N/A,3.564001207955576,5.05,1.4859987920444238,0.10336589813232422,N/A,1.4859987920444238,-10.0,High,Slow Recover
2,sfc_cache_p4_30,True,False,N/A,3.4466859823172973,2.92,-0.5266859823172974,0.0583956241607666,N/A,-0.5266859823172974,-10.0,High,Slow Recover
2,sfc_cache_p1_31,True,False,N/A,2.337710506209469,2.69,0.352289493790531,0.11665821075439453,N/A,0.352289493790531,-5.67,High,Slow Recover
