Wall time,Step,Value
1762338800.5016885,1000,-84.50292205810547
1762338802.2676132,2000,-97.98959350585938
1762338804.6398904,3000,-97.72334289550781
1762338806.4468079,4000,-104.04725646972656
1762338808.7309992,5000,-83.43534088134766
1762338810.4842646,6000,-96.3983383178711
1762338812.7510407,7000,-73.01595306396484
1762338814.5258865,8000,-72.71118927001953
1762338816.8137975,9000,-88.0896987915039
1762338818.5836082,10000,-70.05915832519531
1762338820.8544984,11000,-63.7451286315918
1762338822.6273203,12000,-57.104305267333984
1762338824.8988404,13000,-63.72807312011719
1762338826.907978,14000,-59.343116760253906
1762338830.005801,15000,-58.466800689697266
1762338832.4758615,16000,-37.95786666870117
1762338835.708967,17000,-34.21787643432617
1762338838.2631001,18000,-45.09191131591797
1762338841.5350397,19000,-36.39661407470703
1762338844.0579658,20000,-33.85708999633789
1762338847.2552736,21000,-29.72910499572754
1762338849.789545,22000,-27.720901489257812
1762338853.0529206,23000,-18.69927215576172
1762338855.5837955,24000,-22.725509643554688
1762338859.239472,25000,-32.22625732421875
1762338862.357715,26000,-21.381168365478516
1762338866.4346488,27000,-18.376361846923828
1762338869.8915024,28000,-19.498491287231445
1762338873.8754284,29000,-12.75179672241211
1762338877.0032487,30000,-5.52414083480835
1762338881.4191434,31000,-12.823993682861328
1762338884.5826545,32000,-14.445080757141113
1762338888.8040054,33000,-4.542797565460205
1762338892.0646732,34000,0.8829233646392822
1762338896.0828674,35000,0.5510121583938599
1762338899.4389467,36000,-3.223306179046631
1762338903.55541,37000,-3.0102851390838623
1762338906.6779423,38000,-6.306499004364014
1762338911.1275518,39000,-10.000178337097168
1762338914.288563,40000,-2.0435233116149902
1762338918.3937094,41000,-2.520840883255005
1762338921.8760386,42000,1.9485325813293457
1762338924.765763,43000,0.0004557666543405503
1762338929.1584313,44000,-11.306622505187988
1762338932.9638715,45000,-6.203588485717773
1762338938.6508675,46000,-2.1503188610076904
1762338942.2824671,47000,-4.5954813957214355
1762338948.3548543,48000,4.890836238861084
