Wall time,Step,Value
1762339031.0108478,1000,-42.376365661621094
1762339036.6910403,2000,-50.9388427734375
1762339044.7551491,3000,-49.89259719848633
1762339050.5609622,4000,-28.80024528503418
1762339058.2962093,5000,-34.70063018798828
1762339063.9309697,6000,-30.80545425415039
1762339071.6094515,7000,-43.16807174682617
1762339077.8809397,8000,-53.90856170654297
1762339085.5883832,9000,-50.53450012207031
1762339091.819695,10000,-51.58186721801758
1762339099.6785378,11000,-30.86158561706543
1762339105.3659322,12000,-54.346405029296875
1762339113.123706,13000,-35.09754943847656
1762339118.8776245,14000,-45.812255859375
1762339126.355394,15000,-34.00033187866211
1762339132.312053,16000,-48.4457893371582
1762339139.8844907,17000,-38.89023208618164
1762339145.639859,18000,-29.16375160217285
1762339153.4935231,19000,-26.496049880981445
1762339159.2484536,20000,-43.65577697753906
1762339166.6443799,21000,-30.622087478637695
1762339172.5611167,22000,-44.073570251464844
1762339180.1509516,23000,-34.40127944946289
1762339185.9652872,24000,-17.33189582824707
1762339193.6784806,25000,-32.71369171142578
1762339199.3221529,26000,-49.01234817504883
1762339207.5587828,27000,-25.45985221862793
1762339213.0024662,28000,-39.69517135620117
1762339220.6400099,29000,-24.06869125366211
1762339226.7166212,30000,-8.204151153564453
1762339234.4629698,31000,-10.979232788085938
1762339239.9844515,32000,-18.275941848754883
1762339247.6924317,33000,-23.598060607910156
1762339253.2709053,34000,-18.45510482788086
1762339260.838024,35000,-22.661521911621094
1762339266.4906642,36000,-18.840194702148438
1762339274.2113616,37000,-5.32954216003418
1762339279.7968824,38000,-8.079492568969727
1762339287.356708,39000,0.9875722527503967
1762339293.0282803,40000,-16.783323287963867
1762339300.6705222,41000,-19.024932861328125
1762339306.2605634,42000,-25.953922271728516
1762339312.2409518,43000,-4.936824321746826
1762339319.9395134,44000,-10.09093952178955
1762339325.9557097,45000,-12.403738021850586
1762339334.2475295,46000,-18.997196197509766
1762339340.6340404,47000,-9.310051918029785
1762339348.5715253,48000,-4.724924564361572
1762339353.9651058,49000,-9.900402069091797
1762339361.6710443,50000,-8.791754722595215
1762339367.3939633,51000,-5.310648441314697
1762339374.8215084,52000,-16.5533504486084
1762339380.1719062,53000,-30.960750579833984
1762339388.1987467,54000,-7.799097061157227
1762339393.7565336,55000,-2.1032729148864746
1762339402.1082473,56000,-5.780082702636719
1762339407.629777,57000,-10.195507049560547
1762339415.5008018,58000,-8.608686447143555
1762339421.2881615,59000,1.085339069366455
1762339428.8809583,60000,-0.32708966732025146
1762339434.339739,61000,-8.98146915435791
1762339442.4791136,62000,-0.14294816553592682
1762339448.0846944,63000,-4.662972450256348
1762339455.51136,64000,-10.533895492553711
1762339461.1717157,65000,-7.003449440002441
1762339469.198146,66000,-3.193047523498535
1762339474.8350446,67000,-0.16845686733722687
1762339482.8499053,68000,-11.609274864196777
1762339488.37969,69000,-11.09826946258545
1762339496.3308349,70000,0.8052888512611389
1762339501.701394,71000,-7.722787380218506
1762339509.4608781,72000,-23.22572135925293
1762339515.072948,73000,-1.7611122131347656
1762339523.068938,74000,-4.487854957580566
1762339528.3565824,75000,-25.116744995117188
1762339537.0321264,76000,-21.478837966918945
1762339543.018752,77000,-11.162510871887207
1762339550.9463274,78000,-11.680809020996094
1762339556.354442,79000,-7.7905402183532715
1762339564.4836812,80000,-10.988207817077637
1762339569.9488392,81000,-13.764695167541504
1762339577.673351,82000,-8.71433162689209
1762339583.163381,83000,-8.508143424987793
1762339590.9856415,84000,-2.7297263145446777
1762339596.3640482,85000,-7.062978267669678
1762339601.9514267,86000,-22.332714080810547
1762339610.1016676,87000,-3.933724880218506
1762339615.6226964,88000,-4.721642017364502
1762339623.4060462,89000,-9.363518714904785
1762339629.0561333,90000,-7.256302833557129
1762339636.6634011,91000,-9.862177848815918
1762339642.8078535,92000,-6.8202595710754395
1762339650.8130205,93000,-14.749909400939941
1762339655.8691115,94000,-10.810224533081055
1762339662.8669577,95000,4.575744152069092
1762339667.7293565,96000,5.761265754699707
1762339674.0639672,97000,-5.698830604553223
1762339677.9350376,98000,6.48419189453125
1762339682.830984,99000,-9.969173431396484
1762339686.403509,100000,-8.917807579040527
1762339690.7726958,101000,-17.36351776123047
1762339693.9417226,102000,-3.1351804733276367
1762339697.6462886,103000,-10.70826530456543
1762339700.8036919,104000,-7.227713584899902
1762339704.4405162,105000,-17.914321899414062
1762339707.6075678,106000,-7.597004413604736
1762339711.2482936,107000,-6.007335662841797
1762339714.4415019,108000,0.18073929846286774
1762339718.0945525,109000,-2.8527660369873047
1762339721.2969825,110000,0.981623649597168
1762339724.9874732,111000,-4.296914100646973
1762339728.0637631,112000,-11.250656127929688
1762339731.8189468,113000,-9.946991920471191
1762339734.8053672,114000,-9.957048416137695
1762339738.5405138,115000,-9.257319450378418
1762339741.5797153,116000,-0.8965603113174438
1762339745.4088466,117000,-6.751271724700928
1762339748.5320678,118000,-19.20416831970215
1762339752.4854782,119000,-7.887214183807373
1762339755.5474284,120000,-9.696063041687012
1762339759.4259906,121000,-10.685323715209961
1762339762.3912916,122000,-6.465514183044434
1762339766.128072,123000,-11.817087173461914
1762339769.2283094,124000,-25.228382110595703
1762339772.8202226,125000,4.949480056762695
1762339776.0030673,126000,-1.1325702667236328
1762339779.706848,127000,-6.102893352508545
1762339782.812137,128000,4.0912675857543945
1762339785.8065772,129000,-7.216211318969727
1762339789.6326442,130000,-1.4532474279403687
1762339792.606825,131000,0.4435727000236511
1762339796.3107643,132000,-8.92634105682373
1762339799.365541,133000,9.218571662902832
1762339802.9850032,134000,-9.838960647583008
1762339806.1331348,135000,-12.411867141723633
1762339809.8096719,136000,-3.894085168838501
1762339812.9298396,137000,-3.0129292011260986
1762339816.5279655,138000,-6.937609672546387
1762339819.6457171,139000,-10.309812545776367
1762339823.2667406,140000,-16.557422637939453
1762339826.3630478,141000,-13.45198917388916
1762339829.9628026,142000,1.7251498699188232
1762339832.9773664,143000,-6.685286521911621
1762339836.8294647,144000,-7.741631984710693
1762339839.8551152,145000,-9.358094215393066
1762339843.666246,146000,-13.856515884399414
1762339846.6927958,147000,-16.88362693786621
1762339850.7208927,148000,-7.936337947845459
1762339853.7178454,149000,-2.471102476119995
1762339857.4845798,150000,-0.12242056429386139
1762339860.5115757,151000,-15.587152481079102
