Wall time,Step,Value
1762338957.58435,1000,-43.91725158691406
1762338960.9271247,2000,-43.897003173828125
1762338965.7376847,3000,-47.58273696899414
1762338968.8920732,4000,-43.941776275634766
1762338973.5312924,5000,-21.68920135498047
1762338976.873503,6000,-32.805946350097656
1762338981.7054965,7000,-36.57350158691406
1762338984.740652,8000,-40.271278381347656
1762338989.6901138,9000,-36.498844146728516
1762338993.0114741,10000,-43.91792297363281
1762338997.6228886,11000,-40.25304412841797
1762339000.763023,12000,-40.19012451171875
1762339005.5500956,13000,-36.57077407836914
1762339008.7507434,14000,-43.96162796020508
1762339013.503908,15000,-25.41788673400879
1762339016.8070645,16000,-21.75986099243164
1762339021.3941844,17000,-25.426429748535156
1762339024.9367182,18000,-29.107694625854492
1762339030.0928,19000,-29.113649368286133
1762339033.9502313,20000,-36.54277801513672
1762339039.7840176,21000,-32.80852508544922
1762339043.4565227,22000,-29.11984634399414
1762339049.1656914,23000,-25.48263168334961
1762339052.6603296,24000,-25.378982543945312
1762339058.1672206,25000,-14.333998680114746
1762339061.7432003,26000,-6.895904064178467
1762339067.5277474,27000,-21.738574981689453
1762339071.3047569,28000,-10.620756149291992
1762339076.7103236,29000,-29.087907791137695
1762339080.3281553,30000,-17.98955726623535
1762339085.4902563,31000,-29.061269760131836
1762339089.1382113,32000,-10.553479194641113
1762339094.8394513,33000,-14.304986000061035
1762339098.4070935,34000,-32.79183578491211
1762339104.327924,35000,-17.961761474609375
1762339107.8797956,36000,-10.605250358581543
1762339113.5073192,37000,-10.60843563079834
1762339117.124306,38000,7.906749725341797
1762339122.4668596,39000,-17.9588565826416
1762339125.826782,40000,-21.657901763916016
1762339131.403224,41000,-21.740018844604492
1762339135.4443533,42000,-14.254175186157227
1762339139.0494273,43000,-21.635082244873047
1762339144.5134797,44000,-10.595235824584961
1762339147.9985702,45000,-21.70517921447754
1762339154.2340746,46000,-21.637557983398438
1762339157.8599052,47000,0.5316304564476013
1762339163.7638283,48000,-14.293177604675293
1762339167.293257,49000,-6.869807720184326
1762339172.9047575,50000,0.4597196578979492
1762339176.331074,51000,-6.899829864501953
1762339181.7335143,52000,-18.0054988861084
1762339185.2555006,53000,-18.063692092895508
1762339190.713412,54000,-14.35114574432373
1762339194.1359186,55000,-10.604132652282715
1762339199.295767,56000,0.4990958869457245
1762339203.301603,57000,-3.1726980209350586
1762339209.166227,58000,-6.8989996910095215
1762339212.4774525,59000,-10.579129219055176
1762339217.967023,60000,-6.909975528717041
1762339221.748492,61000,-21.739253997802734
1762339226.889722,62000,-25.461952209472656
1762339230.5384922,63000,-3.1651086807250977
1762339236.6157825,64000,-3.211049795150757
1762339240.344275,65000,-6.871728420257568
1762339246.7221062,66000,-14.327194213867188
1762339250.2022238,67000,-6.949175834655762
1762339255.357372,68000,-3.2262728214263916
1762339259.0407586,69000,-6.915780067443848
1762339264.4355955,70000,7.852516174316406
1762339267.7455306,71000,-14.345076560974121
1762339273.0290377,72000,-6.973302841186523
1762339276.8064847,73000,0.44993889331817627
1762339281.7363,74000,-6.932557106018066
1762339285.3098316,75000,0.48176053166389465
1762339290.9188378,76000,-3.2326056957244873
1762339294.5212326,77000,-3.229584217071533
1762339299.897384,78000,-6.877605438232422
1762339303.5087872,79000,7.883675575256348
1762339308.546681,80000,-10.606184005737305
1762339312.0478358,81000,-3.2407519817352295
1762339317.600175,82000,0.4641728103160858
1762339320.9463582,83000,-17.997957229614258
1762339326.1968687,84000,4.149104595184326
1762339330.0132349,85000,-3.2005624771118164
1762339333.5384583,86000,-10.606599807739258
1762339338.8043554,87000,7.894363880157471
1762339342.5760174,88000,-6.895473003387451
1762339348.3799908,89000,-3.2299811840057373
1762339351.6914356,90000,4.1651434898376465
1762339357.5319948,91000,4.165354251861572
1762339360.9372668,92000,0.49862533807754517
1762339366.356768,93000,0.46855753660202026
1762339369.8999965,94000,-3.2028896808624268
1762339375.7254643,95000,-3.2014451026916504
1762339379.9292438,96000,4.204100608825684
1762339385.757158,97000,-14.293365478515625
1762339389.3439791,98000,0.4885159730911255
1762339395.7494397,99000,0.48726722598075867
1762339399.3969707,100000,-6.946881294250488
1762339404.9796016,101000,-3.193941593170166
1762339409.357135,102000,-3.1617863178253174
1762339414.8947074,103000,0.5010136961936951
1762339418.512698,104000,11.577560424804688
1762339424.0115879,105000,0.47590017318725586
1762339427.6227474,106000,7.922384262084961
1762339432.7715101,107000,0.49017927050590515
1762339436.2567482,108000,11.605822563171387
1762339441.992699,109000,-3.1949574947357178
1762339445.4489865,110000,-10.624113082885742
1762339450.6946099,111000,11.600040435791016
1762339454.325012,112000,0.49787113070487976
1762339459.654758,113000,-3.1800742149353027
1762339463.3796866,114000,4.234750747680664
1762339469.030416,115000,-3.1870055198669434
1762339472.316414,116000,-3.2160863876342773
1762339477.791227,117000,-3.185821771621704
1762339481.4762247,118000,4.160486221313477
1762339486.3921106,119000,4.205035209655762
1762339489.8610215,120000,4.219925403594971
1762339495.5319674,121000,4.174092769622803
1762339499.1368306,122000,7.889987468719482
1762339504.504106,123000,0.5101472735404968
1762339508.8706436,124000,0.49534955620765686
1762339514.5756078,125000,-10.627696990966797
1762339518.0622642,126000,7.90617036819458
1762339524.1383939,127000,-3.2154600620269775
1762339527.6675835,128000,0.5232120752334595
1762339531.3097591,129000,0.5670956969261169
1762339537.0601957,130000,4.202550411224365
1762339540.5071762,131000,-10.605533599853516
1762339545.5499616,132000,4.244537353515625
1762339549.4754045,133000,7.900916576385498
1762339554.70592,134000,-3.196254253387451
1762339558.8817754,135000,-6.883096694946289
1762339564.8226838,136000,-3.1705925464630127
1762339569.2262628,137000,0.5647872090339661
1762339574.7211463,138000,0.5389215350151062
1762339578.3759134,139000,0.46629998087882996
1762339583.4866936,140000,7.949304103851318
1762339587.0683656,141000,-3.1582727432250977
1762339592.7684817,142000,0.51408851146698
1762339596.2928102,143000,-10.520299911499023
1762339601.6463265,144000,0.509070634841919
1762339605.5600111,145000,0.539639413356781
1762339611.2638547,146000,4.217903137207031
1762339614.7786858,147000,4.245262622833252
1762339620.1977606,148000,0.5092440247535706
1762339623.8614619,149000,7.936775207519531
1762339628.9598284,150000,-10.52315616607666
1762339633.2330167,151000,-6.871069431304932
