crash_trial,sfc_id,recover_success,backup_success,backup_efficient,latency_before,latency_after,latency_diff,time_to_recover,vnf_id,latency_degrad,resource_degrad,risk_level,final_status
0,sfc_unique_p5_17,True,False,N/A,6.503028478518961,17.37,10.866971521481041,0.02301168441772461,N/A,10.866971521481041,-21.0,High,Slow Recover
0,sfc_unique_p4_17,True,False,N/A,9.098915892094187,9.34,0.24108410790581303,0.04637289047241211,N/A,0.24108410790581303,-21.0,High,Slow Recover
0,sfc_cache_p6_15,True,False,N/A,4.919863441828172,3.75,-1.1698634418281717,0.0687723159790039,N/A,-1.1698634418281717,-10.0,High,Slow Recover
0,sfc_cache_p5_15,True,False,N/A,4.919863441828172,3.72,-1.1998634418281715,0.09250664710998535,N/A,-1.1998634418281715,-6.0,High,Slow Recover
0,sfc_cache_p4_15,True,False,N/A,4.3865301084948385,3.72,-0.6665301084948383,0.11622428894042969,N/A,-0.6665301084948383,-6.0,High,Slow Recover
0,sfc_cache_p3_15,True,False,N/A,3.3337426911038874,4.25,0.9162573088961126,0.14044809341430664,N/A,0.9162573088961126,-6.0,High,Slow Recover
0,sfc_cache_p2_15,True,False,N/A,4.12680306646603,4.25,0.12319693353397021,0.16543793678283691,N/A,0.12319693353397021,-6.0,High,Slow Recover
0,sfc_cache_p1_15,True,False,N/A,4.3865301084948385,3.72,-0.6665301084948383,0.19074225425720215,N/A,-0.6665301084948383,-6.0,High,Slow Recover
1,sfc_cache_p6_19,True,False,N/A,6.088949331378581,8.01,1.9210506686214188,0.017200708389282227,N/A,1.9210506686214188,-10.0,High,Slow Recover
1,sfc_cache_p5_19,True,False,N/A,6.088949331378581,8.01,1.9210506686214188,0.034162282943725586,N/A,1.9210506686214188,-6.0,High,Slow Recover
1,sfc_cache_p4_19,True,False,N/A,5.555615998045248,8.55,2.994384001954753,0.0513455867767334,N/A,2.994384001954753,-6.0,High,Slow Recover
1,sfc_cache_p3_19,True,False,N/A,5.555615998045248,9.44,3.8843840019547518,0.06882882118225098,N/A,3.8843840019547518,-6.0,High,Slow Recover
1,sfc_cache_p2_19,True,False,N/A,6.03534476513531,9.44,3.4046552348646895,0.08670616149902344,N/A,3.4046552348646895,-6.0,High,Slow Recover
1,sfc_cache_p1_19,True,False,N/A,6.088949331378581,8.55,2.4610506686214197,0.1045682430267334,N/A,2.4610506686214197,-6.0,High,Slow Recover
