timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772827702.04646;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;600.00;600.00;600.00;480.00;194.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;620.00;960.00;0.00;0.00;0.00;320.00;320.00;2560.00
1772827702.0471053;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;600.00;600.00;600.00;480.00;194.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;620.00;960.00;0.00;0.00;0.00;320.00;320.00;2560.00
1772827702.064817;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;910.00;910.00;910.00;720.00;291.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;1120.00;0.00;0.00;0.00;320.00;320.00;2860.00
1772827702.0653965;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;910.00;910.00;910.00;720.00;291.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;1120.00;0.00;0.00;0.00;320.00;320.00;2860.00
1772827702.0820787;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1220.00;1220.00;1220.00;960.00;388.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;1280.00;0.00;0.00;0.00;320.00;320.00;3160.00
1772827702.0826616;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1220.00;1220.00;1220.00;960.00;388.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;1280.00;0.00;0.00;0.00;320.00;320.00;3160.00
1772827702.0999227;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1520.00;1520.00;1520.00;1200.00;485.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;1664.67;0.00;0.00;0.00;320.00;320.00;3460.00
1772827702.1006465;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1520.00;1520.00;1520.00;1200.00;485.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;1664.67;0.00;0.00;0.00;320.00;320.00;3460.00
1772827702.1188002;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;3760.00
1772827702.119529;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;1440.00;1820.00;1820.00;1820.00;0.00;2270.00;1440.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;3760.00
